Features,Safe ,Unsafe,safe,unsafe,diff,,,,,,,
Billboard ,0,31,0.16,0.16,0.00,,,,,,,
Outdoor table ,26,23,0.00,0.00,0.00,,,,,,,
Pattern ,0,29,0.15,0.15,0.00,,,,,,,
Baseball ,27,0,0.06,0.06,0.00,,,,,,,
Locomotive ,0,27,0.14,0.14,0.00,,,,,,,
Race track ,8,17,0.03,0.03,0.00,,,,,,,
Hat ,6,17,0.04,0.04,0.00,,,,,,,
Gps navigation device ,26,0,0.05,0.05,0.00,,,,,,,
Stadium ,25,0,0.05,0.05,0.00,,,,,,,
Twig ,25,0,0.05,0.05,0.00,,,,,,,
Home appliance ,24,0,0.05,0.05,0.00,,,,,,,
Runway ,78,48,0.00,0.00,0.00,,,,,,,
Food group ,0,23,0.12,0.12,0.00,,,,,,,
Food ,0,23,0.12,0.12,0.00,,,,,,,
Brand ,86,56,0.00,0.00,0.00,,,,,,,
Houseplant ,22,0,0.05,0.05,0.00,,,,,,,
Railroad car ,0,22,0.11,0.11,0.00,,,,,,,
Graphics ,31,16,0.00,0.00,0.00,,,,,,,
Public transport ,16,15,0.00,0.00,0.00,,,,,,,
Suit ,19,1,0.03,0.03,0.00,,,,,,,
Bicycle handlebar ,20,0,0.04,0.04,0.00,,,,,,,
Picket fence ,3,14,0.04,0.04,0.00,,,,,,,
Player ,31,17,0.00,0.00,0.00,,,,,,,
Flat panel display ,28,15,0.00,0.00,0.00,,,,,,,
Crescent ,17,0,0.04,0.04,0.00,,,,,,,
Guitar ,89,56,0.00,0.00,0.00,,,,,,,
Outdoor furniture ,13,0,0.03,0.03,0.00,,,,,,,
Fashion accessory ,11,2,0.01,0.01,0.00,,,,,,,
Trade ,12,0,0.02,0.02,0.00,,,,,,,
Snow ,0,12,0.06,0.06,0.00,,,,,,,
Pole ,0,11,0.06,0.06,0.00,,,,,,,
Gesture ,12,5,0.00,0.00,0.00,,,,,,,
Animation ,14,7,0.00,0.00,0.00,,,,,,,
Town ,9,1,0.01,0.01,0.00,,,,,,,
Alloy wheel ,56,36,0.00,0.00,0.00,,,,,,,
Sunlight ,1,7,0.03,0.03,0.00,,,,,,,
Christmas tree ,9,3,0.00,0.00,0.00,,,,,,,
Flowering plant ,9,0,0.02,0.02,0.00,,,,,,,
Garden ,8,0,0.02,0.02,0.00,,,,,,,
Screen door ,0,8,0.04,0.04,0.00,,,,,,,
Wood stain ,7,0,0.01,0.01,0.00,,,,,,,
Bicycle tire ,11,6,0.00,0.00,0.00,,,,,,,
Motorcycle ,6,1,0.01,0.01,0.00,,,,,,,
Stop sign ,6,0,0.01,0.01,0.00,,,,,,,
Helmet ,6,0,0.01,0.01,0.00,,,,,,,
Aerospace manufacturer ,6,0,0.01,0.01,0.00,,,,,,,
Meteorological phenomenon ,5,1,0.00,0.00,0.00,,,,,,,
Passenger ,10,7,0.00,0.00,0.00,,,,,,,
Field house ,5,0,0.01,0.01,0.00,,,,,,,
Motorsport ,0,5,0.03,0.03,0.00,,,,,,,
News ,0,5,0.03,0.03,0.00,,,,,,,
Auto part ,3,3,0.00,0.00,0.00,,,,,,,
Stairs ,4,0,0.01,0.01,0.00,,,,,,,
Cartoon ,0,4,0.02,0.02,0.00,,,,,,,
Ladder ,3,0,0.01,0.01,0.00,,,,,,,
Aviation ,3,0,0.01,0.01,0.00,,,,,,,
Meadow ,0,3,0.02,0.02,0.00,,,,,,,
Mesh ,2,0,0.00,0.00,0.00,,,,,,,
Engineering ,2,0,0.00,0.00,0.00,,,,,,,
Poster ,2,0,0.00,0.00,0.00,,,,,,,
