long 16.9925100625 lat 46.4575234375 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.9925109166667 lat 46.45750475 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.9925109166667 lat 46.45750475 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Road surface 88,Asphalt 88,Building 86,Mode of transport 86,Motor vehicle 86,Architecture 86
long 16.9925109166667 lat 46.45750475 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
long 16.9925109166667 lat 46.45750475 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.99253115625 lat 46.45754809375 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.99253115625 lat 46.45754809375 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Architecture 86,Mode of transport 86,Motor vehicle 85
long 16.99253115625 lat 46.45754809375 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
long 16.99253115625 lat 46.45754809375 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.99254225 lat 46.45741225 viewpoint 0 degrees.jpeg,Cloud 93,Window 92,Car 90,Building 90,Asphalt 88,Vehicle 86,Automotive lighting 85,Mode of transport 84,Sky 83,Tire 83
long 16.99254225 lat 46.45741225 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Window 90,Infrastructure 90,Road surface 89,Asphalt 88,Thoroughfare 85,Urban design 84,Mode of transport 84
long 16.99254225 lat 46.45741225 viewpoint 270 degrees.jpeg,Window 95,Property 94,Building 92,Architecture 86,Door 84,Wood 83,Wall 82,Facade 80,Gas 78,Font 76
long 16.99254225 lat 46.45741225 viewpoint 90 degrees.jpeg,Building 88,Window 87,Door 86,Screenshot 80,Facade 79,House 79,Wood 78,Font 78,Tints and shades 76,Home door 75
long 16.9925430833333 lat 46.45724 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.9925430833333 lat 46.45724 viewpoint 180 degrees.jpeg,Cloud 95,Sky 93,Window 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 85,Urban design 84,Thoroughfare 83
long 16.9925430833333 lat 46.45724 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 93,Tire 93,Car 92,Automotive lighting 91,Building 89,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 83
long 16.9925430833333 lat 46.45724 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.9925463928571 lat 46.4572240714286 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.9925463928571 lat 46.4572240714286 viewpoint 180 degrees.jpeg,Cloud 95,Sky 93,Window 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 85,Urban design 84,Thoroughfare 83
long 16.9925463928571 lat 46.4572240714286 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 94,Tire 93,Car 93,Automotive lighting 91,Building 90,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 84
long 16.9925463928571 lat 46.4572240714286 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.992547625 lat 46.4574705 viewpoint 0 degrees.jpeg,Cloud 93,Window 92,Car 90,Building 90,Asphalt 88,Vehicle 86,Automotive lighting 85,Mode of transport 84,Sky 83,Tire 83
long 16.992547625 lat 46.4574705 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Window 90,Infrastructure 90,Road surface 89,Asphalt 88,Thoroughfare 85,Urban design 84,Mode of transport 84
long 16.992547625 lat 46.4574705 viewpoint 270 degrees.jpeg,Window 95,Property 94,Building 92,Architecture 86,Door 84,Wood 83,Wall 82,Facade 80,Gas 78,Font 76
long 16.992547625 lat 46.4574705 viewpoint 90 degrees.jpeg,Building 88,Window 87,Door 86,Screenshot 80,Facade 79,House 79,Wood 78,Font 78,Tints and shades 76,Home door 75
long 16.992548875 lat 46.457212125 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.992548875 lat 46.457212125 viewpoint 180 degrees.jpeg,Cloud 95,Sky 93,Window 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 85,Urban design 84,Thoroughfare 83
long 16.992548875 lat 46.457212125 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 94,Tire 93,Car 93,Automotive lighting 91,Building 90,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 84
long 16.992548875 lat 46.457212125 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.9925556875 lat 46.457557875 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
