long 16.9894728571429 lat 46.4552227142857 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9894728571429 lat 46.4552227142857 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 93,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9894749047619 lat 46.4552313333333 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9894749047619 lat 46.4552313333333 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9894749047619 lat 46.4552313333333 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9894749047619 lat 46.4552313333333 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9894759285714 lat 46.4552612142857 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9894759285714 lat 46.4552612142857 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9894759285714 lat 46.4552612142857 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9894759285714 lat 46.4552612142857 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9894820714286 lat 46.4552615 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9894820714286 lat 46.4552615 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9894820714286 lat 46.4552615 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9894820714286 lat 46.4552615 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 93,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.989495 lat 46.4551383333333 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.989495 lat 46.4551383333333 viewpoint 180 degrees.jpeg,Tire 96,Building 95,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.989495 lat 46.4551383333333 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.989495 lat 46.4551383333333 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 93,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9894988961039 lat 46.4551703636364 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9894988961039 lat 46.4551703636364 viewpoint 180 degrees.jpeg,Tire 96,Building 95,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9894988961039 lat 46.4551703636364 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9894988961039 lat 46.4551703636364 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895064666667 lat 46.4551388666667 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9895064666667 lat 46.4551388666667 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895064666667 lat 46.4551388666667 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895064666667 lat 46.4551388666667 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895070285714 lat 46.4551884 viewpoint 0 degrees.jpeg,Window 94,Building 90,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Tree 74,Recreation 73,Pedestrian 72
long 16.9895070285714 lat 46.4551884 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895070285714 lat 46.4551884 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895070285714 lat 46.4551884 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895106363636 lat 46.4551390606061 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9895106363636 lat 46.4551390606061 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895106363636 lat 46.4551390606061 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895106363636 lat 46.4551390606061 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895129166667 lat 46.4551839166667 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9895129166667 lat 46.4551839166667 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895129166667 lat 46.4551839166667 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895129166667 lat 46.4551839166667 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.989516968254 lat 46.4552104444444 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.989516968254 lat 46.4552104444444 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.989516968254 lat 46.4552104444444 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.989516968254 lat 46.4552104444444 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895236666667 lat 46.4551396666667 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9895236666667 lat 46.4551396666667 viewpoint 180 degrees.jpeg,Tire 96,Building 95,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895236666667 lat 46.4551396666667 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895236666667 lat 46.4551396666667 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9895333116883 lat 46.4551532727273 viewpoint 0 degrees.jpeg,Window 94,Building 91,Asphalt 87,Mode of transport 85,Urban design 85,Font 80,Screenshot 79,Pedestrian 73,Recreation 72,Advertising 72
long 16.9895333116883 lat 46.4551532727273 viewpoint 180 degrees.jpeg,Tire 96,Building 96,Car 95,Vehicle 95,Property 94,Window 94,Motor vehicle 93,Wheel 93,Automotive lighting 91,Street light 89
long 16.9895333116883 lat 46.4551532727273 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Photograph 94,Street light 89,Asphalt 88,Road surface 87,Urban design 85,Screenshot 84,Thoroughfare 82,Line 82
long 16.9895333116883 lat 46.4551532727273 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Building 94,Sky 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 88,Thoroughfare 86,Mode of transport 85
long 16.9896541428571 lat 46.4552861190476 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896541428571 lat 46.4552861190476 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
long 16.9896541428571 lat 46.4552861190476 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896541428571 lat 46.4552861190476 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
long 16.9896643809524 lat 46.4552865952381 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896643809524 lat 46.4552865952381 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
long 16.9896643809524 lat 46.4552865952381 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896643809524 lat 46.4552865952381 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Sky 87,Asphalt 87,Thoroughfare 85,Urban design 83,Automotive mirror 82
long 16.9896713571429 lat 46.4552442142857 viewpoint 0 degrees.jpeg,Window 94,Building 88,Mode of transport 84,Asphalt 84,Line 82,Font 81,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896713571429 lat 46.4552442142857 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 85,House 83,Screenshot 82,Sky 81,Public space 81,Asphalt 80,Facade 78
long 16.9896713571429 lat 46.4552442142857 viewpoint 270 degrees.jpeg,Cloud 97,Sky 96,Photograph 94,Infrastructure 90,Asphalt 88,Lighting 87,Road surface 87,Urban design 84,Mode of transport 84,Screenshot 83
long 16.9896713571429 lat 46.4552442142857 viewpoint 90 degrees.jpeg,Cloud 96,Building 92,Street light 90,Infrastructure 89,Road surface 88,Asphalt 87,Sky 87,Thoroughfare 85,Urban design 84,Automotive mirror 82
long 16.9896828333333 lat 46.4552162777778 viewpoint 0 degrees.jpeg,Window 94,Building 88,Asphalt 85,Mode of transport 84,Font 82,Line 82,Screenshot 78,Road 77,Tree 76,Facade 75
long 16.9896828333333 lat 46.4552162777778 viewpoint 180 degrees.jpeg,Cloud 96,Building 95,Window 92,Urban design 84,House 83,Screenshot 82,Sky 81,Public space 81,Neighbourhood 81,Asphalt 80
