long 16.9875086666667 lat 46.4551846666667 viewpoint 0 degrees.jpeg,Building 93,Screenshot 80,Urban design 80,Font 77,Asphalt 75,Window 73,Facade 72,Signage 69,Road 68,City 67
long 16.9875086666667 lat 46.4551846666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.9875086666667 lat 46.4551846666667 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.9875086666667 lat 46.4551846666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 86,Mode of transport 85,Thoroughfare 84,Screenshot 82
long 16.9875171111111 lat 46.4551206666667 viewpoint 0 degrees.jpeg,Building 93,Screenshot 80,Urban design 80,Font 77,Asphalt 75,Window 73,Facade 72,Signage 69,Road 68,City 67
long 16.9875171111111 lat 46.4551206666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.9875171111111 lat 46.4551206666667 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.9875171111111 lat 46.4551206666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.987521 lat 46.455306 viewpoint 0 degrees.jpeg,Building 93,Urban design 80,Screenshot 80,Font 77,Asphalt 74,Facade 71,Window 70,Signage 69,Road 68,Multimedia 67
long 16.987521 lat 46.455306 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.987521 lat 46.455306 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.987521 lat 46.455306 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.9875265 lat 46.455273 viewpoint 0 degrees.jpeg,Building 93,Urban design 80,Screenshot 80,Font 77,Asphalt 74,Facade 71,Window 70,Signage 69,Road 68,Multimedia 67
long 16.9875265 lat 46.455273 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 89,Building 87,Asphalt 86,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.9875265 lat 46.455273 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.9875265 lat 46.455273 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.987537 lat 46.4551702666667 viewpoint 0 degrees.jpeg,Building 93,Screenshot 80,Urban design 80,Font 77,Asphalt 75,Window 73,Facade 72,Signage 69,Road 68,City 67
long 16.987537 lat 46.4551702666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.987537 lat 46.4551702666667 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.987537 lat 46.4551702666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.9875535 lat 46.4551635 viewpoint 0 degrees.jpeg,Building 93,Urban design 80,Screenshot 80,Font 77,Asphalt 74,Facade 71,Window 70,Signage 69,Road 68,Multimedia 67
long 16.9875535 lat 46.4551635 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.9875535 lat 46.4551635 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.9875535 lat 46.4551635 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.9875588 lat 46.4552206 viewpoint 0 degrees.jpeg,Building 93,Screenshot 80,Urban design 80,Font 77,Asphalt 75,Window 73,Facade 72,Signage 69,Road 68,City 67
long 16.9875588 lat 46.4552206 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.9875588 lat 46.4552206 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.9875588 lat 46.4552206 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.98756275 lat 46.45523225 viewpoint 0 degrees.jpeg,Building 93,Urban design 80,Screenshot 80,Font 77,Asphalt 74,Facade 71,Window 70,Signage 69,Road 68,Multimedia 67
long 16.98756275 lat 46.45523225 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.98756275 lat 46.45523225 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.98756275 lat 46.45523225 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.987566 lat 46.4551461666667 viewpoint 0 degrees.jpeg,Building 93,Screenshot 80,Urban design 80,Font 77,Asphalt 75,Window 73,Facade 72,Signage 69,Road 68,City 67
long 16.987566 lat 46.4551461666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Infrastructure 90,Building 86,Asphalt 85,Urban design 84,Screenshot 83,Font 82,Public space 82,City 80
long 16.987566 lat 46.4551461666667 viewpoint 270 degrees.jpeg,Building 93,Car 91,Cloud 91,Infrastructure 89,Asphalt 88,Vehicle 87,Road surface 87,Mode of transport 86,Motor vehicle 86,Automotive lighting 85
long 16.987566 lat 46.4551461666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 89,Infrastructure 89,Asphalt 89,Building 88,Road surface 85,Mode of transport 85,Thoroughfare 83,Screenshot 82
long 16.9875694 lat 46.4550388666667 viewpoint 0 degrees.jpeg,Cloud 96,Building 95,Photograph 94,Sky 88,Urban design 86,Asphalt 86,Window 83,Line 82,Screenshot 80,Road 78
long 16.9875694 lat 46.4550388666667 viewpoint 180 degrees.jpeg,Photograph 94,Cloud 92,Sky 91,Infrastructure 89,Road surface 88,Asphalt 88,Mode of transport 86,Urban design 84,Biome 84,Tree 83
