long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.9931852 lat 46.4492847111111 viewpoint 180 degrees.jpeg,Plant 93,Ecoregion 93,Nature 90,Natural environment 89,Tree 89,Cloud 87,Vegetation 86,Sky 85,Natural landscape 84,Font 83
long 16.9931852 lat 46.4492847111111 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Building 91,Nature 90,Tree 89,Cloud 89,Asphalt 86,Land lot 84,Biome 83,Grass 83
long 16.9931852 lat 46.4492847111111 viewpoint 90 degrees.jpeg,Plant 96,Sky 95,Cloud 94,Nature 90,Tree 88,Natural landscape 85,Biome 83,Screenshot 83,Asphalt 83,Graphics software 82
long 16.99318672 lat 46.44931088 viewpoint 0 degrees.jpeg,Building 96,Cloud 96,Sky 95,Property 95,Window 92,Nature 90,Tree 88,House 87,Fence 85,Land lot 85
long 16.99318672 lat 46.44931088 viewpoint 180 degrees.jpeg,Ecoregion 93,Plant 93,Natural environment 89,Cloud 88,Tree 87,Vegetation 86,Sky 85,Natural landscape 83,Font 83,Biome 83
long 16.99318672 lat 46.44931088 viewpoint 270 degrees.jpeg,Plant 96,Sky 92,Building 92,Nature 90,Cloud 89,Tree 89,Asphalt 85,Land lot 84,Biome 83,Road surface 83
long 16.99318672 lat 46.44931088 viewpoint 90 degrees.jpeg,Cloud 95,Sky 95,Plant 93,Ecoregion 92,Tree 88,Natural landscape 85,Screenshot 84,Asphalt 83,Biome 83,Woody plant 81
long 16.9932105 lat 46.44928975 viewpoint 0 degrees.jpeg,Cloud 96,Building 96,Sky 96,Property 95,Window 93,Nature 90,Tree 87,House 86,Plant 86,Land lot 85
long 16.9932105 lat 46.44928975 viewpoint 180 degrees.jpeg,Plant 93,Ecoregion 93,Nature 90,Natural environment 89,Tree 89,Cloud 87,Vegetation 86,Sky 85,Natural landscape 84,Font 83
long 16.9932105 lat 46.44928975 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Building 91,Nature 90,Tree 89,Cloud 89,Asphalt 86,Land lot 84,Biome 83,Grass 83
long 16.9932105 lat 46.44928975 viewpoint 90 degrees.jpeg,Plant 96,Sky 95,Cloud 94,Nature 90,Tree 88,Natural landscape 85,Biome 83,Screenshot 83,Asphalt 83,Graphics software 82
long 16.9932325185185 lat 46.4492701851852 viewpoint 0 degrees.jpeg,Cloud 96,Building 96,Sky 96,Property 95,Window 93,Nature 90,Tree 87,House 86,Plant 86,Land lot 85
long 16.9932325185185 lat 46.4492701851852 viewpoint 180 degrees.jpeg,Plant 93,Ecoregion 93,Nature 90,Natural environment 89,Tree 89,Cloud 87,Vegetation 86,Sky 85,Natural landscape 84,Font 83
long 16.9932325185185 lat 46.4492701851852 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Building 91,Nature 90,Tree 89,Cloud 89,Asphalt 86,Land lot 84,Biome 83,Grass 83
long 16.9932325185185 lat 46.4492701851852 viewpoint 90 degrees.jpeg,Plant 96,Sky 95,Cloud 94,Nature 90,Tree 88,Natural landscape 85,Biome 83,Screenshot 83,Asphalt 83,Graphics software 82
long 16.99323485 lat 46.44927715 viewpoint 0 degrees.jpeg,Building 96,Cloud 96,Sky 95,Property 95,Window 92,Nature 90,Tree 88,House 87,Fence 85,Land lot 85
long 16.99323485 lat 46.44927715 viewpoint 180 degrees.jpeg,Ecoregion 93,Plant 93,Natural environment 89,Cloud 88,Tree 87,Vegetation 86,Sky 85,Natural landscape 83,Font 83,Biome 83
long 16.99323485 lat 46.44927715 viewpoint 270 degrees.jpeg,Plant 96,Sky 92,Building 92,Nature 90,Cloud 89,Tree 89,Asphalt 85,Land lot 84,Biome 83,Road surface 83
long 16.99323485 lat 46.44927715 viewpoint 90 degrees.jpeg,Cloud 95,Sky 95,Plant 93,Ecoregion 92,Tree 88,Natural landscape 85,Screenshot 84,Asphalt 83,Biome 83,Woody plant 81
long 16.9933207636364 lat 46.4492815090909 viewpoint 0 degrees.jpeg,Building 96,Cloud 96,Sky 95,Property 95,Window 92,Nature 90,Tree 88,House 87,Fence 85,Land lot 85
long 16.9933207636364 lat 46.4492815090909 viewpoint 180 degrees.jpeg,Ecoregion 93,Plant 93,Natural environment 89,Cloud 88,Tree 87,Vegetation 86,Sky 85,Natural landscape 83,Font 83,Biome 83
long 16.9933207636364 lat 46.4492815090909 viewpoint 270 degrees.jpeg,Plant 96,Sky 92,Building 92,Nature 90,Cloud 89,Tree 89,Asphalt 85,Land lot 84,Biome 83,Road surface 83
long 16.9933207636364 lat 46.4492815090909 viewpoint 90 degrees.jpeg,Cloud 95,Sky 95,Plant 93,Ecoregion 92,Tree 88,Natural landscape 85,Screenshot 84,Asphalt 83,Biome 83,Woody plant 81
long 16.9933518888889 lat 46.4494108888889 viewpoint 0 degrees.jpeg,Building 95,Property 94,Sky 94,Window 93,Cloud 92,Nature 90,Fence 86,Land lot 85,Tree 85,Biome 84
long 16.9933560571429 lat 46.4494022 viewpoint 0 degrees.jpeg,Building 95,Window 93,Cloud 93,Sky 93,Nature 90,Fence 86,Land lot 85,Tree 85,House 85,Biome 84
long 16.9933560571429 lat 46.4494022 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 93,Nature 90,Natural environment 89,Natural landscape 88,Tree 86,Vegetation 86,Biome 84,Cloud 84,Screenshot 83
long 16.9933560571429 lat 46.4494022 viewpoint 270 degrees.jpeg,Plant 97,Cloud 95,Sky 94,Building 91,Nature 90,Window 88,Tree 88,Fence 85,Land lot 85,Road surface 83
long 16.9933560571429 lat 46.4494022 viewpoint 90 degrees.jpeg,Plant 92,Tree 88,Asphalt 83,Screenshot 83,Biome 83,Road surface 80,Woody plant 80,Font 80,Urban design 79,Electronic device 75
long 16.9933594675325 lat 46.4493950909091 viewpoint 0 degrees.jpeg,Building 95,Window 93,Cloud 93,Sky 93,Nature 90,Fence 86,Land lot 85,Tree 85,House 85,Biome 84
long 16.9933708148148 lat 46.4493118148148 viewpoint 0 degrees.jpeg,Cloud 96,Building 96,Sky 96,Property 95,Window 93,Nature 90,Tree 87,House 86,Plant 86,Land lot 85
long 16.9933708148148 lat 46.4493118148148 viewpoint 180 degrees.jpeg,Plant 93,Ecoregion 93,Nature 90,Natural environment 89,Tree 89,Cloud 87,Vegetation 86,Sky 85,Natural landscape 84,Font 83
long 16.9933708148148 lat 46.4493118148148 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Building 91,Nature 90,Tree 89,Cloud 89,Asphalt 86,Land lot 84,Biome 83,Grass 83
long 16.9933708148148 lat 46.4493118148148 viewpoint 90 degrees.jpeg,Plant 96,Sky 95,Cloud 94,Nature 90,Tree 88,Natural landscape 85,Biome 83,Screenshot 83,Asphalt 83,Graphics software 82
long 16.9933746 lat 46.449292 viewpoint 0 degrees.jpeg,Cloud 96,Building 96,Sky 96,Property 95,Window 93,Nature 90,Tree 87,House 86,Plant 86,Land lot 85
long 16.9933746 lat 46.449292 viewpoint 180 degrees.jpeg,Plant 93,Ecoregion 93,Nature 90,Natural environment 89,Tree 89,Cloud 87,Vegetation 86,Sky 85,Natural landscape 84,Font 83
long 16.9933746 lat 46.449292 viewpoint 270 degrees.jpeg,Plant 96,Sky 94,Building 91,Nature 90,Tree 89,Cloud 89,Asphalt 86,Land lot 84,Biome 83,Grass 83
long 16.9933746 lat 46.449292 viewpoint 90 degrees.jpeg,Plant 96,Sky 95,Cloud 94,Nature 90,Tree 88,Natural landscape 85,Biome 83,Screenshot 83,Asphalt 83,Graphics software 82
long 16.9933771269841 lat 46.4493936269841 viewpoint 0 degrees.jpeg,Building 95,Property 94,Sky 94,Window 93,Cloud 92,Nature 90,Fence 86,Land lot 85,Tree 85,Biome 84
