long 16.98746775 lat 46.455272 viewpoint 0 degrees.jpeg,Building 93,Screenshot 81,Urban design 79,Font 78,Asphalt 71,Facade 69,Multimedia 67,Video game software 67,Multimedia software 66,Signage 64
long 16.98746775 lat 46.455272 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Product 91,Building 90,Infrastructure 89,Asphalt 85,Urban design 85,Screenshot 83,Font 83,Line 82
long 16.98746775 lat 46.455272 viewpoint 270 degrees.jpeg,Building 93,Cloud 91,Infrastructure 90,Asphalt 88,Car 88,Road surface 87,Automotive lighting 86,Mode of transport 86,Vehicle 85,Window 85
long 16.98746775 lat 46.455272 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 91,Infrastructure 89,Asphalt 89,Building 87,Road surface 86,Mode of transport 85,Thoroughfare 83,Screenshot 83
long 16.987479875 lat 46.455248 viewpoint 0 degrees.jpeg,Building 93,Screenshot 81,Urban design 79,Font 78,Asphalt 71,Facade 69,Multimedia 67,Video game software 67,Multimedia software 66,Signage 64
long 16.987479875 lat 46.455248 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Product 91,Building 90,Infrastructure 89,Asphalt 85,Urban design 85,Screenshot 83,Font 83,Line 82
long 16.987479875 lat 46.455248 viewpoint 270 degrees.jpeg,Building 93,Cloud 91,Infrastructure 90,Asphalt 88,Car 88,Road surface 87,Automotive lighting 86,Mode of transport 86,Vehicle 85,Window 85
long 16.987479875 lat 46.455248 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 91,Infrastructure 89,Asphalt 89,Building 87,Road surface 86,Mode of transport 85,Thoroughfare 83,Screenshot 83
long 16.98749175 lat 46.45533575 viewpoint 0 degrees.jpeg,Building 93,Screenshot 81,Urban design 79,Font 78,Asphalt 71,Facade 69,Multimedia 67,Video game software 67,Multimedia software 66,Signage 64
long 16.98749175 lat 46.45533575 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Product 91,Building 90,Infrastructure 89,Asphalt 85,Urban design 85,Screenshot 83,Font 83,Line 82
long 16.98749175 lat 46.45533575 viewpoint 270 degrees.jpeg,Building 93,Cloud 91,Infrastructure 90,Asphalt 88,Car 88,Road surface 87,Automotive lighting 86,Mode of transport 86,Vehicle 85,Window 85
long 16.98749175 lat 46.45533575 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 91,Infrastructure 89,Asphalt 89,Building 87,Road surface 86,Mode of transport 85,Thoroughfare 83,Screenshot 83
long 16.9874957777778 lat 46.4552893333333 viewpoint 0 degrees.jpeg,Building 93,Screenshot 81,Urban design 79,Font 78,Asphalt 71,Facade 69,Multimedia 67,Video game software 67,Multimedia software 66,Signage 64
long 16.9874957777778 lat 46.4552893333333 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Product 91,Building 90,Infrastructure 89,Asphalt 85,Urban design 85,Screenshot 83,Font 83,Line 82
long 16.9874957777778 lat 46.4552893333333 viewpoint 270 degrees.jpeg,Building 93,Cloud 91,Infrastructure 90,Asphalt 88,Car 88,Road surface 87,Automotive lighting 86,Mode of transport 86,Vehicle 85,Window 85
long 16.9874957777778 lat 46.4552893333333 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Window 91,Infrastructure 89,Asphalt 89,Building 87,Road surface 86,Mode of transport 85,Thoroughfare 83,Screenshot 83
long 16.9874979166667 lat 46.4553305 viewpoint 0 degrees.jpeg,Building 93,Screenshot 81,Urban design 79,Font 78,Asphalt 71,Facade 69,Multimedia 67,Video game software 67,Multimedia software 66,Signage 64
