long 16.9908712653061 lat 46.4636813673469 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908750103806 lat 46.4637073460208 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
long 16.9908750103806 lat 46.4637073460208 viewpoint 180 degrees.jpeg,Plant 93,Tree 89,Infrastructure 89,Asphalt 88,Lighting 87,Mode of transport 86,Road surface 86,Screenshot 84,Urban design 82,Biome 82
long 16.9908750103806 lat 46.4637073460208 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
long 16.9908750103806 lat 46.4637073460208 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Light 91,Infrastructure 91,Sky 90,Cloud 90,Road surface 90,Nature 90,Asphalt 89,Tree 89
long 16.9908790947712 lat 46.4637011960784 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
long 16.9908790947712 lat 46.4637011960784 viewpoint 180 degrees.jpeg,Plant 93,Tree 89,Infrastructure 89,Asphalt 88,Lighting 87,Mode of transport 86,Road surface 86,Screenshot 84,Urban design 82,Biome 82
long 16.9908790947712 lat 46.4637011960784 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
long 16.9908790947712 lat 46.4637011960784 viewpoint 90 degrees.jpeg,Plant 95,Photograph 94,Light 91,Infrastructure 91,Sky 90,Cloud 90,Road surface 90,Nature 90,Asphalt 89,Tree 89
long 16.990882749226 lat 46.4636956934985 viewpoint 0 degrees.jpeg,Property 94,Building 93,Window 90,Sky 88,House 85,Screenshot 82,Line 82,Facade 78,Font 77,Software 76
long 16.990882749226 lat 46.4636956934985 viewpoint 180 degrees.jpeg,Plant 93,Tree 89,Infrastructure 89,Asphalt 88,Lighting 87,Mode of transport 86,Road surface 86,Screenshot 84,Urban design 82,Biome 82
long 16.990882749226 lat 46.4636956934985 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Window 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88,Building 88
