long 16.9890643333333 lat 46.4574443333333 viewpoint 270 degrees.jpeg,Building 94,Window 93,Vehicle 92,Motor vehicle 90,Automotive lighting 85,Automotive exterior 83,Door 79,Car 79,Facade 78,Parking 77
long 16.9890643333333 lat 46.4574443333333 viewpoint 90 degrees.jpeg,Property 94,Building 89,Fixture 88,Window 88,Font 80,Screenshot 79,Facade 79,Door 78,Home door 75,Room 66
long 16.9890655 lat 46.4573931666667 viewpoint 0 degrees.jpeg,Window 94,Building 93,Sky 91,Cloud 90,Infrastructure 90,Asphalt 89,Road surface 87,Lighting 86,Motor vehicle 86,Street light 85
long 16.9890655 lat 46.4573931666667 viewpoint 180 degrees.jpeg,Sky 96,Cloud 90,Window 90,Architecture 86,Asphalt 85,Building 84,Yellow 84,Automotive lighting 83,Car 81,Screenshot 81
long 16.9890655 lat 46.4573931666667 viewpoint 270 degrees.jpeg,Building 94,Window 93,Vehicle 92,Motor vehicle 90,Automotive lighting 85,Automotive exterior 83,Door 79,Car 79,Facade 78,Parking 77
long 16.9890655 lat 46.4573931666667 viewpoint 90 degrees.jpeg,Property 94,Building 89,Fixture 88,Window 88,Font 80,Screenshot 79,Facade 79,Door 78,Home door 75,Room 66
long 16.989068 lat 46.4574526666667 viewpoint 0 degrees.jpeg,Cloud 94,Sky 91,Car 91,Motor vehicle 90,Infrastructure 89,Vehicle 89,Automotive lighting 89,Window 89,Road surface 87,Asphalt 87
long 16.989068 lat 46.4574526666667 viewpoint 180 degrees.jpeg,Cloud 94,Tire 94,Sky 94,Window 93,Building 91,Vehicle 91,Wheel 91,Car 90,Automotive lighting 87,Architecture 86
long 16.989068 lat 46.4574526666667 viewpoint 270 degrees.jpeg,Building 95,Window 92,Motor vehicle 82,Asphalt 82,Urban design 82,Line 82,Facade 78,Door 78,Screenshot 77,Font 76
long 16.989068 lat 46.4574526666667 viewpoint 90 degrees.jpeg,Building 91,Window 91,Door 91,Home door 81,Fixture 79,Facade 79,House 78,Font 78,Screenshot 75,Wood 74
long 16.989072 lat 46.457288 viewpoint 0 degrees.jpeg,Building 95,Window 93,Vehicle 92,Car 91,Tire 90,Automotive lighting 87,Asphalt 86,Wheel 85,Architecture 85,Cloud 85
long 16.989072 lat 46.457288 viewpoint 180 degrees.jpeg,Property 94,Window 94,Building 91,Urban design 82,Facade 79,Real estate 79,Asphalt 78,Screenshot 77,Font 74,House 71
long 16.989072 lat 46.457288 viewpoint 270 degrees.jpeg,Property 94,Building 93,Window 92,Automotive lighting 89,Asphalt 86,Road surface 84,Vehicle 84,Motor vehicle 84,Wheel 84,Tire 83
long 16.989072 lat 46.457288 viewpoint 90 degrees.jpeg,Property 94,Window 92,Building 91,Fixture 83,Screenshot 80,Facade 79,Door 79,Urban design 78,Font 77,Asphalt 77
long 16.989073 lat 46.457371 viewpoint 0 degrees.jpeg,Window 94,Building 94,Vehicle 94,Car 92,Infrastructure 90,Cloud 90,Tire 89,Automotive lighting 88,Motor vehicle 88,Sky 88
long 16.989073 lat 46.457371 viewpoint 180 degrees.jpeg,Building 95,Property 94,Cloud 94,Window 94,Sky 92,Asphalt 85,Urban design 82,Font 81,House 80,Door 80
long 16.989073 lat 46.457371 viewpoint 270 degrees.jpeg,Property 94,Window 92,Door 85,Font 84,Facade 79,Gas 78,Building 78,Screenshot 76,Machine 70,Asphalt 70
long 16.989073 lat 46.457371 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Fixture 89,Lighting 86,Yellow 85,Font 82,Line 82,Door 82,Wall 82
long 16.9890766666667 lat 46.4574621666667 viewpoint 0 degrees.jpeg,Cloud 94,Sky 91,Car 91,Motor vehicle 90,Infrastructure 89,Vehicle 89,Automotive lighting 89,Window 89,Road surface 87,Asphalt 87
long 16.9890766666667 lat 46.4574621666667 viewpoint 180 degrees.jpeg,Cloud 94,Window 94,Tire 94,Sky 93,Wheel 92,Building 92,Vehicle 91,Car 90,Automotive lighting 87,Architecture 86
long 16.9890766666667 lat 46.4574621666667 viewpoint 270 degrees.jpeg,Building 95,Window 92,Motor vehicle 82,Asphalt 82,Urban design 82,Line 82,Facade 78,Door 78,Screenshot 77,Font 76
long 16.9890766666667 lat 46.4574621666667 viewpoint 90 degrees.jpeg,Building 92,Window 91,Door 91,Home door 81,Fixture 80,Facade 79,Font 78,House 77,Wood 77,Screenshot 76
long 16.9891046666667 lat 46.457492 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 95,Cloud 95,Vehicle 95,Property 94,Photograph 94,Sky 93,Automotive lighting 91,Motor vehicle 91,Automotive tail & brake light 91
long 16.9891046666667 lat 46.457492 viewpoint 180 degrees.jpeg,Building 94,Cloud 92,Window 91,Automotive lighting 90,Car 89,Sky 88,Vehicle 87,Lighting 87,Asphalt 87,Tire 87
long 16.9891046666667 lat 46.457492 viewpoint 270 degrees.jpeg,Property 94,Building 94,Door 89,Architecture 85,Window 84,Wall 81,Facade 80,Gas 78,Asphalt 78,Screenshot 76
long 16.9891046666667 lat 46.457492 viewpoint 90 degrees.jpeg,Window 91,Building 89,Wood 83,Line 82,Screenshot 80,Font 80,Facade 77,Rectangle 75,Technology 73,Software 72
long 16.98912625 lat 46.45750675 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 95,Cloud 95,Vehicle 95,Property 94,Photograph 94,Sky 93,Automotive lighting 91,Motor vehicle 91,Automotive tail & brake light 91
long 16.98912625 lat 46.45750675 viewpoint 180 degrees.jpeg,Building 94,Cloud 92,Window 91,Automotive lighting 90,Car 89,Sky 88,Vehicle 87,Lighting 87,Asphalt 87,Tire 87
long 16.98912625 lat 46.45750675 viewpoint 270 degrees.jpeg,Property 94,Building 93,Door 89,Architecture 85,Window 84,Wall 81,Facade 80,Gas 78,House 77,Asphalt 76
long 16.98912625 lat 46.45750675 viewpoint 90 degrees.jpeg,Window 91,Building 89,Wood 83,Line 82,Screenshot 80,Font 80,Facade 77,Rectangle 75,Technology 73,Software 72
long 16.989132 lat 46.4573895 viewpoint 0 degrees.jpeg,Window 94,Building 93,Sky 91,Cloud 90,Infrastructure 90,Asphalt 89,Road surface 87,Lighting 86,Motor vehicle 86,Street light 85
long 16.989132 lat 46.4573895 viewpoint 180 degrees.jpeg,Sky 96,Cloud 90,Window 90,Architecture 86,Asphalt 85,Building 84,Yellow 84,Automotive lighting 83,Car 81,Screenshot 81
long 16.989132 lat 46.4573895 viewpoint 270 degrees.jpeg,Building 94,Window 93,Vehicle 92,Motor vehicle 90,Automotive lighting 85,Automotive exterior 83,Door 79,Car 79,Facade 78,Parking 77
long 16.989132 lat 46.4573895 viewpoint 90 degrees.jpeg,Property 94,Building 89,Fixture 88,Window 88,Font 80,Screenshot 79,Facade 79,Door 78,Home door 75,Room 66
long 16.989136 lat 46.457349 viewpoint 0 degrees.jpeg,Window 94,Building 94,Vehicle 94,Car 92,Infrastructure 90,Cloud 90,Tire 89,Automotive lighting 88,Motor vehicle 88,Sky 88
long 16.989136 lat 46.457349 viewpoint 180 degrees.jpeg,Building 95,Property 94,Cloud 94,Window 94,Sky 92,Asphalt 85,Urban design 82,Font 81,House 80,Door 80
long 16.989136 lat 46.457349 viewpoint 270 degrees.jpeg,Property 94,Window 92,Door 85,Font 84,Facade 79,Gas 78,Building 78,Screenshot 76,Machine 70,Asphalt 70
