long 16.9873843 lat 46.45515125 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9873859 lat 46.4551348375 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 89,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 79,City 78,Metropolitan area 77,Condominium 77
long 16.9873859 lat 46.4551348375 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9873859 lat 46.4551348375 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873859 lat 46.4551348375 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9873919138756 lat 46.455146076555 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9873919138756 lat 46.455146076555 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 89,Window 86
long 16.9873919138756 lat 46.455146076555 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Asphalt 87,Lighting 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873919138756 lat 46.455146076555 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9873928859649 lat 46.4551318421053 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9873928859649 lat 46.4551318421053 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 90,Sky 86
long 16.9873928859649 lat 46.4551318421053 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 87,Road surface 86,Architecture 86,Urban design 85
long 16.9873928859649 lat 46.4551318421053 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9874 lat 46.455069775 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
