long 16.9986476190476 lat 46.4551840952381 viewpoint 270 degrees.jpeg,Cloud 95,Plant 95,Sky 94,Infrastructure 89,Wheel 89,Tree 89,Motor vehicle 89,Asphalt 88,Road surface 88,Thoroughfare 84
long 16.9986476190476 lat 46.4551840952381 viewpoint 90 degrees.jpeg,Plant 95,Car 93,Window 90,Tree 90,Infrastructure 89,Building 89,Motor vehicle 89,Lighting 87,Road surface 87,Asphalt 86
long 16.9986546190476 lat 46.4551794285714 viewpoint 0 degrees.jpeg,Plant 96,Tree 91,Street light 88,Asphalt 87,Road surface 86,Land lot 85,Mode of transport 84,Urban design 84,Thoroughfare 83,Automotive mirror 82
long 16.9986546190476 lat 46.4551794285714 viewpoint 180 degrees.jpeg,Property 94,Sky 94,Cloud 94,Plant 93,Building 92,Infrastructure 89,Asphalt 87,Urban design 86,Tree 85,Road surface 84
long 16.9986546190476 lat 46.4551794285714 viewpoint 270 degrees.jpeg,Cloud 95,Plant 95,Sky 94,Infrastructure 89,Wheel 89,Tree 89,Motor vehicle 89,Asphalt 88,Road surface 88,Thoroughfare 84
long 16.9986546190476 lat 46.4551794285714 viewpoint 90 degrees.jpeg,Plant 95,Car 93,Window 90,Tree 90,Infrastructure 89,Building 89,Motor vehicle 89,Lighting 87,Road surface 87,Asphalt 86
long 16.9986704285714 lat 46.4553021428571 viewpoint 0 degrees.jpeg,Plant 97,Sky 89,Tree 88,Asphalt 86,Urban design 86,Land lot 84,Biome 84,Grass 83,Public space 82,Screenshot 82
long 16.9986704285714 lat 46.4553021428571 viewpoint 180 degrees.jpeg,Building 96,Property 95,Window 94,Cloud 92,Nature 90,Sky 89,House 88,Plant 87,Land lot 87,Grass 86
long 16.9986704285714 lat 46.4553021428571 viewpoint 270 degrees.jpeg,Plant 93,Motor vehicle 92,Sky 90,Road surface 90,Nature 90,Tree 89,Asphalt 88,Mode of transport 84,Cloud 84,Urban design 84
long 16.9986704285714 lat 46.4553021428571 viewpoint 90 degrees.jpeg,Plant 96,Car 96,Property 94,Building 93,Vehicle 92,Motor vehicle 92,Wheel 91,Infrastructure 89,Tree 89,Window 89
long 16.9986719642857 lat 46.4552847142857 viewpoint 0 degrees.jpeg,Plant 97,Sky 89,Tree 88,Asphalt 86,Urban design 86,Land lot 84,Biome 84,Grass 83,Public space 82,Screenshot 82
long 16.9986719642857 lat 46.4552847142857 viewpoint 180 degrees.jpeg,Building 96,Property 95,Window 94,Cloud 92,Nature 90,Sky 89,House 88,Plant 87,Land lot 87,Grass 86
